name,address,website,phone_number,reviews_count,reviews_average,opens_at
Lorenzo di Pontti Mall del Centro - Concepción,"Barros Arana 1080, Local 1902, 4030487 Concepción, Bío Bío",lorenzodipontti.cl,9 9660 0684,18.0,4.4,Tienda de ropa de mujer, Cierra a las 8p.m.
Odis GoldBlanc,"Conjunto residencial Las Palmeras. Pasaje 11, Collao casa 262, 4030000 Concepción, Bío Bío",,9 8249 4180,,,Proveedor de productos de belleza,
Edificio Aires de Collao,"Collao 420, 4050061 Concepción, Bío Bío",,,3.0,5.0,Complejo de apartamentos,
Inmobiliaria Lontue - Edificio Centro Collao,"Avenida I. Collao 794, 4050017 Concepción, Bío Bío",lontue.com,(41) 360 4580,,,Agencia inmobiliaria,
Minimercado Empanadas Los Hornitos De Nonguén,"Cam. Nonguén 1039, B, 4050934 Concepción, Bío Bío",vallenonguen.cl,(41) 249 1771,83,4.6,Tienda de alimentación, Cierra a las 11p.m.
Turcata Outlet,"Tucapel 1318, 4030000 Concepción, Bío Bío",turcata.cl,9 8704 3070,24,4.2,Outlet, Abre a las 10a.m. del lun
Turcata Outlet,"Tucapel 1318, 4030000 Concepción, Bío Bío",turcata.cl,9 8704 3070,24,4.2,Outlet, Abre a las 10a.m. del lun
Pedro de Valdivia #911,"Av. Pedro de Valdivia 911, Concepción, Bío Bío",,,5.0,5.0,Tienda de vinos,
Del Ático Vintage Store,"Pedro de Valdivia 495, 5090000 Valdivia, Los Ríos",instagram.com,9 8268 3198,10.0,4.8,Tienda de ropa de segunda mano, 4p.m. 
Edificio Pedro de Valdivia,"Anibal Pinto 509, piso 14, oficina A, 4030555 Concepción, Bío Bío",,,2.0,4.5,Oficinas de empresa,
Pedro de Valdivia,"Providencia, Región Metropolitana",,,185.0,3.8,Estación de metro,
Clickmall Uniformes Colegio Pedro de Valdivia,"Adelaida La Fetra 2375, 7500000 Providencia, Región Metropolitana",clickmall.cl,9 3416 3123,39.0,4.0,Servicio de comercio electrónico, Abre a las 9a.m. del lun
"Pescadores Limitada Valdivia - Pesca, Caza y Deportes","Caupolicán 465, Local 120, 5110437 Valdivia, Los Ríos",pescadoresvaldivia.cl,9 2379 5118,109.0,4.2,Tienda de artículos de caza y pesca, Cierra a las 8p.m.
UMBRAL Ropa Usada (Reciclada) Europea y Americana,"Chacabuco 545, 5110460 Valdivia, Los Ríos",google.com,9 9397 0902,70.0,4.1,Tienda de ropa de segunda mano, Abre a las 10:30a.m. del lun
Casa De Guarda,"Independencia 170, Valdivia, Los Ríos",,9 8857 8871,17.0,3.8,Tienda de regalos, Cierra a las 7p.m.
Su San Pedro,"Valdivia 21, 4261196 Talcahuano, Bío Bío",,(41) 254 2745,,,,
_casapandora_,"Isla del Rey, 5090000 Valdivia, Los Ríos",,9 6623 3915,,,Tienda de ropa,
Laguna Redonda,"Marina de Chile 2450, Concepción, Bío Bío",,,1096,4.7,Parque,
Condominio Parque alto laguna redonda,"Av. Laguna Redonda 2027, 4030765 Concepción, Bío Bío",,,57,4.5,Condominio,
Laguna Redonda,"Concepción, Bío Bío",,,280,4.7,lago,
El mono,"Av. Laguna Redonda 2740, 4060499 Concepción, Bío Bío",,,9,4.3,Tienda de alimentación, Cierra a las 10p.m.
Parque Laguna Redonda,"Diego de Almagro 197, Concepción, Bío Bío",,,3301,4.7,Parque,
Juegos de Agua Laguna Redonda,"Arturo Fernández Vial 2412, 4060858 Concepción, Bío Bío",,,2,4.5,Parque infantil,
Turcata Outlet,"Tucapel 1318, 4030000 Concepción, Bío Bío",turcata.cl,9 8704 3070,24,4.2,Outlet, Abre a las 10a.m. del lun
Avenida Laguna Redonda,"Av. Laguna Redonda, Concepción, Bío Bío",,,2,5.0,Parque,
